Package Name,App Version Code,App Version Name,Reviewer Language,Device,Review Submit Date and Time,Review Submit Millis Since Epoch,Review Last Update Date and Time,Review Last Update Millis Since Epoch,Star Rating,Review Title,Review Text,Developer Reply Date and Time,Developer Reply Millis Since Epoch,Developer Reply Text,Review Link
com.pos.bisaaiacademy,65,2.0.0.6,id,a11q,2021-07-07T05:58:56Z,1625637536342,2021-07-07T05:58:56Z,1625637536342,5,,"Aku udah beberapa kali pakai karena recomendasi dari temen aku. Aplikasi ini punya segala fitur yang dapat menunjang kita untuk belajar di dunia IT, videonya jelas dan dapat dimengerti orang awam yang baru ingin belajar seperti aku. Recomended lah pokoknya",,,,http://play.google.com/console/developers/5503680119852528524/app/4974992186025108736/user-feedback/review-details?reviewId=gp:AOqpTOEbh_xLN2F90-MHbLrkdOHCEQn0qGc-wGzxNfXPAQs3GARnPmlevgEyE0nPnR7SzxNW0oscSnqV_lFJ&corpus=PUBLIC_REVIEWS
com.pos.bisaaiacademy,,,en,whyred,2021-07-07T06:46:23Z,1625640383498,2021-07-07T06:46:23Z,1625640383498,5,,Great!!,,,,http://play.google.com/console/developers/5503680119852528524/app/4974992186025108736/user-feedback/review-details?reviewId=gp:AOqpTOFn8BPiUjf7HrKTlRaFx4lhOKKQb6B4wxvjAZSZYd6oUhPFQsq2usC7qrYdu5gGtTlT1JuBjEzP-m_R&corpus=PUBLIC_REVIEWS
com.pos.bisaaiacademy,65,2.0.0.6,id,whyred,2021-07-07T08:15:31Z,1625645731827,2021-07-07T08:15:31Z,1625645731827,5,,"aplikasi yang sangat bermanfaat, banyak banget materi materi yang saya dapatkan di aplikasi ini, terima kasih Bisa AI",,,,http://play.google.com/console/developers/5503680119852528524/app/4974992186025108736/user-feedback/review-details?reviewId=gp:AOqpTOEEY3GLk7BsjjpUiJopESIa7oXD3JLr8FfZsp0uFQ1RKVH1wfGBgpy_y-Dv_fplUKnWqTBUq04eyIfs&corpus=PUBLIC_REVIEWS
com.pos.bisaaiacademy,65,2.0.0.6,en,m20lte,2021-07-07T10:44:37Z,1625654677356,2021-07-07T10:44:37Z,1625654677356,5,,great app for learning 👍,,,,http://play.google.com/console/developers/5503680119852528524/app/4974992186025108736/user-feedback/review-details?reviewId=gp:AOqpTOHsAYHKG1ZjIqH7-euLjBWa9YGxwB51adxMDymITGFNdoGo1F1MMQzcp1aIq0c-nYxJPSdH8tRoRQkW&corpus=PUBLIC_REVIEWS
com.pos.bisaaiacademy,65,2.0.0.6,id,a52q,2021-07-07T11:32:33Z,1625657553394,2021-07-07T11:32:33Z,1625657553394,5,,Aplikasi baguss bangettt Sukaa😍,,,,http://play.google.com/console/developers/5503680119852528524/app/4974992186025108736/user-feedback/review-details?reviewId=gp:AOqpTOHvr1hf5jp5Ld7zquoZIxbmornnDNxYOr1DcsXbXFgJ9kb3u146d7fl6TeQLrwvYMiFUjAMV3wwdII_&corpus=PUBLIC_REVIEWS
com.pos.bisaaiacademy,,,id,a51,2021-07-07T13:20:30Z,1625664030124,2021-07-07T13:20:30Z,1625664030124,4,,Aplikasinya keren & sangat bermanfaat,,,,http://play.google.com/console/developers/5503680119852528524/app/4974992186025108736/user-feedback/review-details?reviewId=gp:AOqpTOF3r2k6Y_xBLk-NuLK1RzfnUqGt6x8hQ-7rLDjH_j7Joi-_PqfLaeOW1v5jIwN68nvW1OUuFnLoxOmQ&corpus=PUBLIC_REVIEWS
com.pos.bisaaiacademy,65,2.0.0.6,id,gto,2021-07-08T02:56:15Z,1625712975202,2021-07-08T02:56:15Z,1625712975202,5,,Salah satu aplikasi yang sangat mendukung dan mempermudah dalam dunia pendidikan serta self development,,,,http://play.google.com/console/developers/5503680119852528524/app/4974992186025108736/user-feedback/review-details?reviewId=gp:AOqpTOFEKFSB9zBlVrdF2qENFkPbWR0vmG5lu_sjMkDrtkwZI1cNojYn-IZx18EgoSTvTRxoGPkN8or-fZ5c&corpus=PUBLIC_REVIEWS
com.pos.bisaaiacademy,65,2.0.0.6,en,a50,2021-07-08T06:31:06Z,1625725866619,2021-07-08T06:31:06Z,1625725866619,5,,aplikasi yang sangat membantu untuk meningkatkan skill,,,,http://play.google.com/console/developers/5503680119852528524/app/4974992186025108736/user-feedback/review-details?reviewId=gp:AOqpTOGk_eN7VptMICdE4s0Gfw4VL9BWRgDouFho8tSFNy8n5UuGgl_Cj5QCRuRO3s0mnzrISXwoFN680paU&corpus=PUBLIC_REVIEWS
com.pos.bisaaiacademy,65,2.0.0.6,id,a10s,2021-07-08T11:21:49Z,1625743309017,2021-07-08T11:21:49Z,1625743309017,5,,Keren! Semoga semakin berkembang!,,,,http://play.google.com/console/developers/5503680119852528524/app/4974992186025108736/user-feedback/review-details?reviewId=gp:AOqpTOFR_ZCr001i5kP0K8xs9vP3-lpfzPGjy8_KGxN8tdXLgSkw0tZUljJWd49MomsDhGGK6uFmEs2PygJY&corpus=PUBLIC_REVIEWS
com.pos.bisaaiacademy,65,2.0.0.6,id,OP4B79L1,2021-07-08T14:01:40Z,1625752900611,2021-07-08T14:01:40Z,1625752900611,5,,Aplikasi ini bagus dan berguna banget. Cocok nih buat amak bangsa. Selain bermanfaat aplikasi ini juga udah pasti dibutuhkan. Keren !!,,,,http://play.google.com/console/developers/5503680119852528524/app/4974992186025108736/user-feedback/review-details?reviewId=gp:AOqpTOFNIdBxBgpcnDP2sfXENsSoIuoeH7SopQU0x1_wEGTfkeLslL7qYZX78mUfXKA2lSOxeqSoVXNwnm1D&corpus=PUBLIC_REVIEWS
