Package Name,App Version Code,App Version Name,Reviewer Language,Device,Review Submit Date and Time,Review Submit Millis Since Epoch,Review Last Update Date and Time,Review Last Update Millis Since Epoch,Star Rating,Review Title,Review Text,Developer Reply Date and Time,Developer Reply Millis Since Epoch,Developer Reply Text,Review Link
com.pos.bisaaiacademy,65,2.0.0.6,en,PLE,2021-05-04T07:30:44Z,1620113444512,2021-05-04T07:30:44Z,1620113444512,5,,,,,,
com.pos.bisaaiacademy,65,2.0.0.6,id,a7y18lte,2021-05-08T11:24:51Z,1620473091689,2021-05-08T11:24:51Z,1620473091689,5,,Gudangnya pengetahuan.,2021-06-12T16:33:36Z,1623515616456,"Hai Kak Kamil Malik, Terima kasih atas ulasannya. tunggu update selanjutnya Terus gunakan BISA AI Academy untuk pembelajaran online terkait AI dan lainnya😊",http://play.google.com/console/developers/5503680119852528524/app/4974992186025108736/user-feedback/review-details?reviewId=gp:AOqpTOF7KnczEdxL1pkYbqi7Zejfr-URUTrKwts-gRXv30cU3d04PYsBoitHqNj8FaDWYDc71nNG5lPWIt2D&corpus=PUBLIC_REVIEWS
com.pos.bisaaiacademy,,,id,merlin,2021-05-09T18:27:39Z,1620584859982,2021-05-09T18:27:39Z,1620584859982,5,,,,,,
com.pos.bisaaiacademy,65,2.0.0.6,id,RE50C1,2021-05-11T06:23:36Z,1620714216438,2021-05-11T06:23:36Z,1620714216438,5,,,,,,
com.pos.bisaaiacademy,,,id,kenzo,2021-05-16T05:51:39Z,1621144299875,2021-05-16T05:51:39Z,1621144299875,5,,,,,,
com.pos.bisaaiacademy,65,2.0.0.6,id,1606,2021-05-22T13:48:21Z,1621691301019,2021-05-22T13:48:21Z,1621691301019,5,,,,,,
com.pos.bisaaiacademy,65,2.0.0.6,en,a7y17lte,2021-05-23T17:23:19Z,1621790599412,2021-05-23T17:23:19Z,1621790599412,2,,"Untuk kelas excel for analytic nilai quiz nya di perbaiki dong, masa 1 soal nilai nya 5point untuk 10 soal, kalau bener semua cuman dapet 50 sedangkan minimal lulus harus 80",,,,http://play.google.com/console/developers/5503680119852528524/app/4974992186025108736/user-feedback/review-details?reviewId=gp:AOqpTOHd557261k20kxXm0UV1bkjCqSGaez0uNfWo1KSMYtbl3XrNyzi5TuGTBdpSFwfMF8b4txIPsVGQyxl&corpus=PUBLIC_REVIEWS
com.pos.bisaaiacademy,65,2.0.0.6,en,r5q,2021-05-28T15:46:34Z,1622216794806,2021-05-28T15:46:34Z,1622216794806,5,,,,,,
com.pos.bisaaiacademy,65,2.0.0.6,id,RMX1941,2021-05-29T02:50:35Z,1622256635541,2021-05-29T02:50:35Z,1622256635541,4,,"Aplikasinya bagus, akan tetapi ada saran untuk tampilan. Tulisan pada materi di silabus kecil sekali, rumus terkadang tidak muncul. Untuk kompetisi dibedakan dong yang sudah lewat sama yang sedang berlangsung.",2021-06-12T16:35:25Z,1623515725204,"Hai Kak rizki mahjati, Terima kasih atas sarannya. tunggu update selanjutnya Terus gunakan BISA AI Academy untuk pembelajaran online terkait AI dan lainnya😊",http://play.google.com/console/developers/5503680119852528524/app/4974992186025108736/user-feedback/review-details?reviewId=gp:AOqpTOFHWr1dRtgGuVUOxcc--kEQ4PcMxhc_dhgs5VHrmX2FGfbP2mm0pBX4NDr5mxDUIlyjKp7BNgnB3M62&corpus=PUBLIC_REVIEWS
